DDID,Naam,Type,Lengte,Begin,Eind,Patroon,Verplicht,Sleutel,Codetabel,Code org
1534,Declarerende instelling,AN,8,1,8,NNNNNNNN,V,,AGB register,Vektis
1535,Instelling volgnr DIS,AN,2,9,10,NN,V,,,
1536,Versienummer GA,AN,4,11,14,NN.N,V,,,
1537,Creatiedatum,D,8,15,22,YYYYMMDD,V,,,
3006,Volgnummer,AN,2,23,24,NN,V,,,
1538,Zipfilenaam,AN,48,25,72,,V,,,
1539,Softwareleverancier,AN,15,73,87,,V,,,
1540,Softwarepakket,AN,15,88,102,,V,,,
1541,Softwareversie,AN,15,103,117,,V,,,
1542,Aantal patiënt,N,7,118,124,,V,,,
1543,Aantal zorgtraject,N,7,125,131,,V,,,
1544,Aantal DBC-traject,N,7,132,138,,V,,,
1545,Aantal diagnose,N,7,139,145,,V,,,
1546,"Aantal geleverd zorgprofiel
tijdschrijven",N,7,146,152,,V,,,
1547,"Aantal geleverd zorgprofiel
dagbesteding",N,7,153,159,,V,,,
1548,"Aantal geleverd zorgprofiel
verblijfsdagen",N,7,160,166,,V,,,
1549,"Aantal geleverd zorgprofiel
verrichtingen",N,7,167,173,,V,,,
1550,Aantal overige verrichting,N,7,174,180,,V,,,
3001,Gebruikersnaam,AN,14,181,194,,V,,,
3195,Kamer van Koophandelnummer,AN,8,195,202,,O,,KvK registratie,Kamer van Koophandel
4165,Vestigingsnummer,AN,12,203,214,,O,,KvK registratie,Kamer van Koophandel
