cl_activiteit_tarief_begindatum|cl_activiteit_tarief_einddatum|cl_activiteit_code|cl_activiteit_tarief_omschrijving|cl_declaratiecode|cl_declaratiecode_kleur|cl_activiteit_tarief_basis|cl_activiteit_tarief_max|cl_activiteit_tarief_nhc|cl_activiteit_tarief_mutatie
20120101|20121231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25A048|groen|16710|0|0|
20130101|20131231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25A048|groen|18243|0|0|
20140101|20141231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25A048|groen|14172|0|0|
20120101|20121231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25A049|groen|21012|0|0|
20130101|20131231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25A049|groen|21966|0|0|
20140101|20141231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25A049|groen|18668|0|0|
20120101|20121231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25A050|groen|23729|0|0|
20130101|20131231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25A050|groen|24389|0|0|
20140101|20141231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25A050|groen|25989|0|0|
20120101|20121231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25A051|groen|24429|0|0|
20130101|20131231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25A051|groen|24832|0|0|
20140101|20141231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25A051|groen|27164|0|0|
20120101|20121231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25A052|groen|31871|0|0|
20130101|20131231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25A052|groen|31690|0|0|
20140101|20141231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25A052|groen|34086|0|0|
20120101|20121231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25A053|groen|38646|0|0|
20130101|20131231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25A053|groen|37580|0|0|
20140101|20141231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25A053|groen|38154|0|0|
20120101|20121231|act_8.8.07|Deelprestatie verblijf GGZ G (Zeer intensieve verzorgingsgraad)|25A054|groen|77088|0|0|
20130101|20131231|act_8.8.07|Deelprestatie verblijf GGZ G (Zeer intensieve verzorgingsgraad)|25A054|groen|72457|0|0|
20140101|20141231|act_8.8.07|Deelprestatie verblijf GGZ G (Zeer intensieve verzorgingsgraad)|25A054|groen|53419|0|0|
20130101|20131231|act_10.1|Verrichting - Electroconvulsietherapie|25A060|groen|18571|0|0|
20140101|20141231|act_10.1|Verrichting - Electroconvulsietherapie|25A060|groen|32940|0|0|
20130101|20131231|act_10.2|Verrichting - Ambulante methadon (medicijn, registratie per maand)|25A061|groen|1864|0|0|
20140101|20141231|act_10.2|Verrichting - Ambulante methadon (medicijn, registratie per maand)|25A061|groen|1923|0|0|
20130101|20131231|act_10.3|Beschikbaarheidscomponent voor 24-uurs crisiszorg|25A062|groen|43566|0|0|
20140101|20141231|act_10.3|Beschikbaarheidscomponent voor 24-uurs crisiszorg|25A062|groen|36689|0|0|
20130101|20131231|act_8.9.01|Verblijf zonder overnachting|25A063|groen|6273|0|0|
20140101|20141231|act_8.9.01|Verblijf zonder overnachting|25A063|groen|11603|0|0|
20150101|20151231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25B048|groen|14221|0|3389|
20160101|20161231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25B048|groen|14336|0|3474|
20170101|20171231|act_8.8.01|Deelprestatie verblijf GGZ A (Lichte verzorgingsgraad)|25B048|groen|15603|0|3561|
20180101|20181231|act_8.8.01|Verblijfsdag ggz, klasse A  (lichte verzorging)|25B048|groen|15907|0|0|
20190101|99991231|act_8.8.01|Verblijfsdag ggz, klasse A  (lichte verzorging)|25B048|groen|16626|0|0|
20150101|20151231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25B049|groen|18802|0|3311|
20160101|20161231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25B049|groen|18926|0|3394|
20170101|20171231|act_8.8.02|Deelprestatie verblijf GGZ B (Beperkte verzorgingsgraad)|25B049|groen|22409|0|3479|
20180101|20181231|act_8.8.02|Verblijfsdag ggz, klasse B (beperkte verzorging)|25B049|groen|22925|0|0|
20190101|99991231|act_8.8.02|Verblijfsdag ggz, klasse B (beperkte verzorging)|25B049|groen|23929|0|0|
20150101|20151231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25B050|groen|26215|0|3320|
20160101|20161231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25B050|groen|26361|0|3403|
20170101|20171231|act_8.8.03|Deelprestatie verblijf GGZ C (Matige verzorgingsgraad)|25B050|groen|25683|0|3488|
20180101|20181231|act_8.8.03|Verblijfsdag ggz, klasse C (matige verzorging)|25B050|groen|26298|0|0|
20190101|99991231|act_8.8.03|Verblijfsdag ggz, klasse C (matige verzorging)|25B050|groen|27440|0|0|
20150101|20151231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25B051|groen|27568|0|3298|
20160101|20161231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25B051|groen|27717|0|3380|
20170101|20171231|act_8.8.04|Deelprestatie verblijf GGZ D (Gemiddelde verzorgingsgraad)|25B051|groen|29822|0|3465|
20180101|20181231|act_8.8.04|Verblijfsdag ggz, klasse D (gemiddelde verzorging)|25B051|groen|30564|0|0|
20190101|99991231|act_8.8.04|Verblijfsdag ggz, klasse D (gemiddelde verzorging)|25B051|groen|31880|0|0|
20150101|20151231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25B052|groen|34511|0|3484|
20160101|20161231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25B052|groen|34682|0|3571|
20170101|20171231|act_8.8.05|Deelprestatie verblijf GGZ E (Intensieve verzorgingsgraad)|25B052|groen|36805|0|3660|
20180101|20181231|act_8.8.05|Verblijfsdag ggz, klasse E (intensieve verzorging)|25B052|groen|37751|0|0|
20190101|99991231|act_8.8.05|Verblijfsdag ggz, klasse E (intensieve verzorging)|25B052|groen|39365|0|0|
20150101|20151231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25B053|groen|38691|0|3408|
20160101|20161231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25B053|groen|38873|0|3493|
20170101|20171231|act_8.8.06|Deelprestatie verblijf GGZ F (Extra intensieve verzorgingsgraad)|25B053|groen|40529|0|3581|
20180101|20181231|act_8.8.06|Verblijfsdag ggz, klasse F (extra intensieve verzorging)|25B053|groen|41592|0|0|
