cl_activiteit_begindatum|cl_activiteit_einddatum|cl_activiteit_code|cl_activiteit_groepcode|cl_activiteit_element|cl_activiteit_beschrijving|cl_activiteit_aanspraak_type|cl_activiteit_hierarchieniveau|cl_activiteit_selecteerbaar|cl_activiteit_sorteervolgorde|cl_activiteit_soort|cl_activiteit_mag_direct|cl_activiteit_mag_indirect|cl_activiteit_mag_reistijd|cl_activiteit_mag_groep|cl_activiteit_mutatie|cl_activiteit_branche_indicatie
20000101|20121231|act_1||Pré intake|Pré intake||1|1|20|Tijdschrijven|N|J|N|J||0
20130101|99991231|act_1||Pré intake|Pré intake|D|1|1|20|Tijdschrijven|N|J|N|J||0
20070101|99991231|act_10||Verrichting|Verrichting||1|0|2040|Verrichting|N|N|N|N||0
20070101|20121231|act_10.1|act_10|Electroconvulsietherapie|Verrichting - Electroconvulsietherapie||2|1|2041|Verrichting|N|N|N|N||0
20130101|99991231|act_10.1|act_10|Electroconvulsietherapie|Verrichting - Electroconvulsietherapie|C|2|1|2041|Verrichting|N|N|N|N||0
20070101|20121231|act_10.2|act_10|Ambulante methadon (medicijn, registratie per maand)|Verrichting - Ambulante methadon (medicijn, registratie per maand)||2|1|2042|Verrichting|N|N|N|N||0
20130101|99991231|act_10.2|act_10|Ambulante methadon (medicijn, registratie per maand)|Verrichting - Ambulante methadon (medicijn, registratie per maand)|C|2|1|2042|Verrichting|N|N|N|N||0
20130101|99991231|act_10.3|act_10|Beschikbaarheidscomponent voor 24-uurs crisiszorg|Beschikbaarheidscomponent voor 24-uurs crisiszorg|D|2|1|2043|Verrichting|N|N|N|N|2|1
20130101|99991231|act_10.4|act_10|fpt-forensisch psychiatrisch toezicht|fpt-forensisch psychiatrisch toezicht||2|1|2046|Verrichting|N|N|N|N||2
20130101|99991231|act_10.5|act_10|SGLVG+|SGLVG+||2|1|2047|Verrichting|N|N|N|N||2
20170101|20181231|act_10.6|act_10|Toeslag tolk gebarentaal/communicatiespecialist|Toeslag tolk gebarentaal/communicatiespecialist||2|1|2060|Verrichting|N|N|N|N||1
20190101|99991231|act_10.6|act_10|Toeslag tolk gebarentaal/communicatiespecialist|Toeslag tolk gebarentaal/communicatiespecialist||2|1|2060|Verrichting|N|N|N|N||0
20190101|99991231|act_10.7|act_10|Toeslag - Oorlog gerelateerd psychotrauma|Toeslag - Oorlogsgerelateerd psychotrauma||2|1|2060|Verrichting|N|N|N|N||1
20000101|99991231|act_2||Diagnostiek|Diagnostiek||1|0|30|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_2.1|act_2|Intake & screening|Intake & screening||2|1|40|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.1|act_2|Intake & screening|Intake & screening|B|2|1|40|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.10|act_2|Lichamelijk onderzoek|Lichamelijk onderzoek||2|1|160|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.10|act_2|Lichamelijk onderzoek|Lichamelijk onderzoek|B|2|1|160|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.11|act_2|Aanvullend onderzoek: lab, rad, klin.neur.fys., nucleair|Aanvullend onderzoek: lab, rad, klin.neur.fys., nucleair||2|1|170|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.11|act_2|Aanvullend onderzoek: lab, rad, klin.neur.fys., nucleair|Aanvullend onderzoek: lab, rad, klin.neur.fys., nucleair|B|2|1|170|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.12|act_2|Advisering|Advisering||2|1|180|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.12|act_2|Advisering|Advisering|B|2|1|180|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.13|act_2|Overige diagnostische activiteiten|Overige diagnostische activiteiten||2|1|190|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.13|act_2|Overige diagnostische activiteiten|Overige diagnostische activiteiten|B|2|1|190|Tijdschrijven|J|J|J|J||0
20070101|99991231|act_2.14|act_2|Risicotaxatie|Risicotaxatie||2|1|195|Tijdschrijven|J|J|J|J||2
20000101|20121231|act_2.2|act_2|Verwerven informatie van eerdere behandelaars|Verwerven informatie van eerdere behandelaars||2|1|50|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.2|act_2|Verwerven informatie van eerdere behandelaars|Verwerven informatie van eerdere behandelaars|B|2|1|50|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.3|act_2|Anamnese / vragenlijsten|Anamnese / vragenlijsten||2|1|60|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.3|act_2|Anamnese / vragenlijsten|Anamnese / vragenlijsten|B|2|1|60|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.4|act_2|Hetero anamnese|Hetero anamnese||2|1|70|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.4|act_2|Hetero anamnese|Hetero anamnese|B|2|1|70|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.5|act_2|Psychiatrisch onderzoek|Psychiatrisch onderzoek||2|1|80|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.5|act_2|Psychiatrisch onderzoek|Psychiatrisch onderzoek|B|2|1|80|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_2.6|act_2|Psychodiagnostisch onderzoek|Psychodiagnostisch onderzoek||2|0|90|Tijdschrijven|J|J|J|N||1
20070101|99991231|act_2.6|act_2|Psychodiagnostisch onderzoek|Psychodiagnostisch onderzoek||2|0|90|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_2.6.1|act_2.6|Intelligentie|Psychodiagnostisch onderzoek: Intelligentie||3|1|100|Tijdschrijven|J|J|J|J||0
