cl_d5_diagnose_begindatum|cl_d5_diagnose_einddatum|cl_d5_diagnose_code|cl_d5_diagnose_groep_code|cl_d5_diagnose_beschrijving|cl_d5_diagnose_hierarchieniveau|cl_d5_diagnose_selecteerbaar|cl_d5_diagnose_refcode_icd9cm|cl_d5_diagnose_mutatie
20170101|99991231|D5_1||Neurobiologische ontwikkelingsstoornissen|1|0||
20170101|99991231|D5_1.01|D5_1|Verstandelijke beperkingen|2|0||
20170101|99991231|D5_1.01.01|D5_1.01|Verstandelijke beperking: licht|3|1|317|
20170101|99991231|D5_1.01.02|D5_1.01|Verstandelijke beperking: matig|3|1|318.0|
20170101|99991231|D5_1.01.03|D5_1.01|Verstandelijke beperking: ernstig|3|1|318.1|
20170101|99991231|D5_1.01.04|D5_1.01|Verstandelijke beperking: zeer ernstig|3|1|318.2|
20170101|99991231|D5_1.01.05|D5_1.01|Globale ontwikkelingsachterstand|3|1|315.8|
20170101|99991231|D5_1.01.06|D5_1.01|Ongespecificeerde verstandelijke beperking (verstandelijke ontwikkelingsstoornis)|3|1|319|
20170101|99991231|D5_1.02|D5_1|Communicatiestoornissen|2|0||
20170101|99991231|D5_1.02.01|D5_1.02|Taalstoornis|3|1|315.32|
20170101|99991231|D5_1.02.02|D5_1.02|Spraakklankstoornis|3|1|315.39|
20170101|99991231|D5_1.02.03|D5_1.02|Stoornis in spraakvloeiendheid|3|0||
20170101|99991231|D5_1.02.03.01|D5_1.02.03|Stoornis in spraakvloeiendheid ontstaan in de volwassenheid|4|1|307.0|
20170101|99991231|D5_1.02.03.02|D5_1.02.03|Stoornis in spraakvloeiendheid ontstaan in de kindertijd (ontwikkelingsstotteren)|4|1|315.35|
20170101|99991231|D5_1.02.04|D5_1.02|Sociale (pragmatische) communicatiestoornis|3|1|315.39|
20170101|99991231|D5_1.02.05|D5_1.02|Ongespecificeerde communicatiestoornis|3|1|307.9|
20170101|99991231|D5_1.03|D5_1|Autismespectrumstoornis|2|0||
20170101|99991231|D5_1.03.01|D5_1.03|Autismespectrumstoornis|3|1|299.00|
20170101|99991231|D5_1.04|D5_1|Aandachtsdeficiëntie-/hyperactiviteitsstoornis|2|0||
20170101|99991231|D5_1.04.01|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: gecombineerd beeld|3|1|314.01|
20170101|99991231|D5_1.04.02|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: gecombineerd beeld - gedeeltelijk in remissie|3|1|314.01|
20170101|99991231|D5_1.04.03|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: overwegend onoplettend beeld|3|1|314.00|
20170101|99991231|D5_1.04.04|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: overwegend onoplettend beeld - gedeeltelijk in remissie|3|1|314.00|
20170101|99991231|D5_1.04.05|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: overwegend hyperactief-impulsief beeld|3|1|314.01|
20170101|99991231|D5_1.04.06|D5_1.04|Aandachtsdeficiëntie-/hyperactiviteitsstoornis: overwegend hyperactief-impulsief beeld - gedeeltelijk in remissie|3|1|314.01|
20170101|99991231|D5_1.04.07|D5_1.04|Andere gespecificeerde aandachtsdeficiëntie-/hyperactiviteitsstoornis|3|1|314.01|
20170101|99991231|D5_1.04.08|D5_1.04|Ongespecificeerde aandachtsdeficiëntie-/hyperactiviteitsstoornis|3|1|314.01|
20170101|99991231|D5_1.05|D5_1|Specifieke leerstoornis|2|0||
20170101|99991231|D5_1.05.01|D5_1.05|Specifieke leerstoornis: met beperkingen in het lezen|3|1|315.00|
20170101|99991231|D5_1.05.02|D5_1.05|Specifieke leerstoornis: met beperkingen in de schriftelijke uitdrukkingsvaardigheid|3|1|315.2|
20170101|99991231|D5_1.05.03|D5_1.05|Specifieke leerstoornis: met beperkingen in het rekenen|3|1|315.1|
20170101|99991231|D5_1.06|D5_1|Motorische stoornissen|2|0||
20170101|99991231|D5_1.06.01|D5_1.06|Coördinatieontwikkelingsstoornis|3|1|315.4|
20170101|99991231|D5_1.06.02|D5_1.06|Stereotiepe-bewegingsstoornis|3|2|307.3|
20170101|99991231|D5_1.06.02.01|D5_1.06.02|Stereotiepe-bewegingsstoornis: met zelfbeschadigende handelingen|4|1|307.3|
20170101|99991231|D5_1.07|D5_1|Ticstoornissen|2|0||
20170101|99991231|D5_1.07.01|D5_1.07|Stoornis van Gilles de la Tourette|3|1|307.23|
20170101|99991231|D5_1.07.02|D5_1.07|Persisterende (chronische) motorische- of vocale-ticstoornis|3|1|307.22|
20170101|99991231|D5_1.07.03|D5_1.07|Voorlopige ticstoornis|3|1|307.21|
20170101|99991231|D5_1.07.04|D5_1.07|Andere gespecificeerde ticstoornis|3|1|307.20|
20170101|99991231|D5_1.07.05|D5_1.07|Ongespecificeerde ticstoornis|3|1|307.20|
20170101|99991231|D5_1.08|D5_1|Andere neurobiologische ontwikkelingsstoornissen|2|0||
20170101|99991231|D5_1.08.01|D5_1.08|Andere gespecificeerde neurobiologische ontwikkelingsstoornis|3|1|315.8|
20170101|99991231|D5_1.08.02|D5_1.08|Ongespecificeerde neurobiologische ontwikkelingsstoornis|3|1|315.9|
20170101|99991231|D5_10||Voedings- en eetstoornissen|1|0||
20170101|99991231|D5_10.01|D5_10|Pica|2|1|307.52|
20170101|99991231|D5_10.02|D5_10|Ruminatiestoornis|2|1|307.53|
20170101|99991231|D5_10.03|D5_10|Vermijdende/restrictieve voedselinnamestoornis|2|1|307.59|
20170101|99991231|D5_10.04|D5_10|Anorexia nervosa|2|2|307.1|
20170101|99991231|D5_10.04.01|D5_10.04 |Anorexia nervosa: restrictieve type|3|1|307.1|
20170101|99991231|D5_10.04.02|D5_10.04 |Anorexia nervosa: eetbuien- /purgerende type|3|1|307.1|
20170101|99991231|D5_10.05|D5_10|Bulimia nervosa|2|2|307.51|
20170101|99991231|D5_10.05.01|D5_10.05|Eetbuistoornis: licht|3|1|307.51|
20170101|99991231|D5_10.05.02|D5_10.05|Eetbuistoornis: matig, ernstig, zeer ernstig|3|1|307.51|
20170101|99991231|D5_10.06|D5_10|Andere voedings- of eetstoornissen|2|0||
20170101|99991231|D5_10.06.01|D5_10.06|Andere gespecificeerde voedings- of eetstoornis|3|1|307.59|
20170101|99991231|D5_10.06.02|D5_10.06|Ongespecificeerde voedings- of eetstoornis|3|1|307.50|
20170101|99991231|D5_11||Stoornissen in de zindelijkheid|1|0||
20170101|99991231|D5_11.01|D5_11|Enuresis|2|2|307.6|
20170101|99991231|D5_11.01.01|D5_11.01|Enuresis: alleen 's nachts|3|1|307.6|
20170101|99991231|D5_11.01.02|D5_11.01|Enuresis: alleen overdag|3|1|307.6|
20170101|99991231|D5_11.01.03|D5_11.01|Enuresis: s Nachts en overdag|3|1|307.6|
20170101|99991231|D5_11.02|D5_11|Encopresis|2|0||
20170101|99991231|D5_11.02.01|D5_11.02|Encopresis: met obstipatie en overloop incontinentie|3|1|307.7|
20170101|99991231|D5_11.02.02|D5_11.02|Encopresis: zonder obstipatie en overloop incontinentie|3|1|307.7|
20170101|99991231|D5_11.03|D5_11|Andere stoornissen in de zindelijkheid|2|0||
20170101|99991231|D5_11.03.01|D5_11.03|Andere gespecificeerde stoornis in de zindelijkheid met urinaire symptomen|3|1|788.39|
20170101|99991231|D5_11.03.02|D5_11.03|Andere gespecificeerde stoornis in de zindelijkheid: met fecale symptomen|3|1|787.60|
20170101|99991231|D5_11.03.03|D5_11.03|Ongespecificeerde stoornis in de zindelijkheid met urinaire symptomen|3|1|788.30|
20170101|99991231|D5_11.03.04|D5_11.03|Ongespecificeerde stoornis in de zindelijkheid: met fecale symptomen|3|1|787.60|
20170101|99991231|D5_12||Slaap-waakstoornissen|1|0||
20170101|99991231|D5_12.01|D5_12|Insomniastoornis|2|1|307.42|
20170101|99991231|D5_12.02|D5_12|Hypersomnolentiestoornis|2|1|307.44|
20170101|99991231|D5_12.03|D5_12|Narcolepsie|2|2|347.00|
20170101|99991231|D5_12.03.01|D5_12.03|Narcolepsie: met kataplexie,zonder hypocretinedeficiëntie|3|1|347.01|
20170101|99991231|D5_12.03.02|D5_12.03|Narcolepsie: secundair aan een andere somatische aandoening|3|1|347.10|
20170101|99991231|D5_12.04|D5_12|Ademhalingsgerelateerde slaapstoornissen|2|2|327.23|
20170101|99991231|D5_12.04.01|D5_12.04|Obstructieve-slaapapneu/hypopneusyndroom|3|1|327.23|
20170101|99991231|D5_12.04.02|D5_12.04|Centrale slaapapneusyndroom|3|2|327.23|
20170101|99991231|D5_12.04.02.01|D5_12.04.02|Idiopatische centrale-slaapapneusyndroom|4|1|327.21|
20170101|99991231|D5_12.04.02.02|D5_12.04.02|Cheyne-Stokes-ademhaling|4|1|786.04|
20170101|99991231|D5_12.04.02.03|D5_12.04.02|Centrale slaapapneusyndroom bij het gebruik van opioïden|4|1|780.57|
20170101|99991231|D5_12.04.03|D5_12.04|Slaapgerelateerde hypoventilatie|3|2||
20170101|99991231|D5_12.04.03.01|D5_12.04.03 |Idiopatische hypoventilatie|4|1|327.24|
20170101|99991231|D5_12.04.03.02|D5_12.04.03 |Congenitale centrale alveolaire hypoventilatie|4|1|327.25|
20170101|99991231|D5_12.04.03.03|D5_12.04.03 |Comorbide slaapgerelateerde hypoventilatie|4|1|327.26|
20170101|99991231|D5_12.04.04|D5_12.04|Circadianeritme-slaap-waakstoornissen|3|2|307.45|
20170101|99991231|D5_12.04.04.01|D5_12.04.04 |Circadianeritme-slaap-waakstoornissen: type verlate slaapfase|4|1|327.45|
20170101|99991231|D5_12.04.04.02|D5_12.04.04 |Circadianeritme-slaap-waakstoornissen: type ploegendienst|4|1|327.45|
20170101|99991231|D5_12.04.04.03|D5_12.04.04 |Circadianeritme-slaap-waakstoornissen: ongespecificeerde circadianeritme-slaap-waakstoornissen|4|1|327.45|
20170101|99991231|D5_12.05|D5_12|Parasomnia's|2|0||
20170101|99991231|D5_12.05.01|D5_12.05|Non-remslaap-arausalstoornissen|3|0||
20170101|99991231|D5_12.05.01.01|D5_12.05.01|Non-remslaap-arausalstoornissen: type slaapwandelen|4|1|307.46|
20170101|99991231|D5_12.05.01.02|D5_12.05.01|Non-remslaap-arausalstoornissen: type pavor nocturnus|4|1|307.46|
20170101|99991231|D5_12.05.02|D5_12.05|Nachtmerriestoornis|3|1|307.47|
20170101|99991231|D5_12.05.03|D5_12.05|Remslaapgedragstoornis|3|1|327.42|
20170101|99991231|D5_12.05.04|D5_12.05|Rustelozebenensyndroom|3|1|333.94|
20170101|99991231|D5_12.05.05|D5_12.05|Slaapstoornis door een middel / medicatie|3|0||
20170101|99991231|D5_12.05.05.01|D5_12.05.05|Slaapstoornis door alcohol|4|2|291.82|
20170101|99991231|D5_12.05.05.01.01|D5_12.05.05.01|Slaapstoornis door alcohol: met begin tijdens intoxicatie|5|1|291.82|
20170101|99991231|D5_12.05.05.01.02|D5_12.05.05.01|Slaapstoornis door alcohol: met begin tijdens onttrekking|5|1|291.82|
20170101|99991231|D5_12.05.05.01.03|D5_12.05.05.01|Slaapstoornis door alcohol: insomnia type|5|1|291.82|
20170101|99991231|D5_12.05.05.01.04|D5_12.05.05.01|Slaapstoornis door alcohol: type met slaperigheid|5|1|291.82|
20170101|99991231|D5_12.05.05.01.05|D5_12.05.05.01|Slaapstoornis door alcohol: parasomnia type|5|1|291.82|
20170101|99991231|D5_12.05.05.01.06|D5_12.05.05.01|Slaapstoornis door alcohol: gemengd type|5|1|291.82|
20170101|99991231|D5_12.05.05.02|D5_12.05.05|Slaapstoornis door cafeïne|4|2|292.85|
20170101|99991231|D5_12.05.05.02.01|D5_12.05.05.02|Slaapstoornis door cafeïne: insomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.02.02|D5_12.05.05.02|Slaapstoornis door cafeïne: type met slaperigheid|5|1|292.85|
20170101|99991231|D5_12.05.05.02.03|D5_12.05.05.02|Slaapstoornis door cafeïne: parasomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.02.04|D5_12.05.05.02|Slaapstoornis door cafeïne: gemengd type|5|1|292.85|
20170101|99991231|D5_12.05.05.02.05|D5_12.05.05.02|Slaapstoornis door cannabis|5|1|292.85|
20170101|99991231|D5_12.05.05.03|D5_12.05.05|Slaapstoornis door stimulantia|4|2|292.85|
20170101|99991231|D5_12.05.05.03.01|D5_12.05.05.03|Slaapstoornis door stimulantia: insomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.03.02|D5_12.05.05.03|Slaapstoornis door stimulantia: type met slaperigheid|5|1|292.85|
20170101|99991231|D5_12.05.05.03.03|D5_12.05.05.03|Slaapstoornis door stimulantia: parasomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.03.04|D5_12.05.05.03|Slaapstoornis door stimulantia: gemengd type|5|1|292.85|
20170101|99991231|D5_12.05.05.04|D5_12.05.05|Slaapstoornis door opioïden|4|2|292.85|
20170101|99991231|D5_12.05.05.04.01|D5_12.05.05.04|Slaapstoornis door opioïden: insomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.04.02|D5_12.05.05.04|Slaapstoornis door opioïden: type met slaperigheid|5|1|292.85|
20170101|99991231|D5_12.05.05.04.03|D5_12.05.05.04|Slaapstoornis door opioïden: parasomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.04.04|D5_12.05.05.04|Slaapstoornis door opioïden: gemengd type|5|1|292.85|
20170101|99991231|D5_12.05.05.05|D5_12.05.05|Slaapstoornis door hypnotica of anxiolytica|4|2|292.85|
20170101|99991231|D5_12.05.05.05.01|D5_12.05.05.05|Slaapstoornis door hypnotica of anxiolytica: insomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.05.02|D5_12.05.05.05|Slaapstoornis door hypnotica of anxiolytica: type met slaperigheid|5|1|292.85|
20170101|99991231|D5_12.05.05.05.03|D5_12.05.05.05|Slaapstoornis door hypnotica of anxiolytica: parasomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.05.04|D5_12.05.05.05|Slaapstoornis door hypnotica of anxiolytica: gemengd type|5|1|292.85|
20170101|99991231|D5_12.05.05.05.05|D5_12.05.05.05|Slaapstoornis door tabak|5|1|292.85|
20170101|99991231|D5_12.05.05.06|D5_12.05.05|Slaapstoornis door een ander (of onbekend) middel|4|2|292.85|
20170101|99991231|D5_12.05.05.06.01|D5_12.05.05.06|Slaapstoornis door een ander (of onbekend) middel: insomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.06.02|D5_12.05.05.06|Slaapstoornis door een ander (of onbekend) middel: type met slaperigheid|5|1|292.85|
20170101|99991231|D5_12.05.05.06.03|D5_12.05.05.06|Slaapstoornis door een ander (of onbekend) middel: parasomnia type|5|1|292.85|
20170101|99991231|D5_12.05.05.06.04|D5_12.05.05.06|Slaapstoornis door een ander (of onbekend) middel: gemengd type|5|1|292.85|
20170101|99991231|D5_12.06|D5_12|Andere slaap- waakstoornissen|2|0||
20170101|99991231|D5_12.06.01|D5_12.06|Andere gespecificeerde insomniastoornis|3|1|780.52|
20170101|99991231|D5_12.06.02|D5_12.06|Ongespecificeerde insomniastoornis|3|1|780.52|
20170101|99991231|D5_12.06.03|D5_12.06|Andere gespecificeerde hypersomnolentiestoornis|3|1|780.54|
20170101|99991231|D5_12.06.04|D5_12.06|Ongespecificeerde hypersomnolentiestoornis|3|1|780.54|
