cl_diagnose_conversie_begindatum|cl_diagnose_conversie_einddatum|cl_D5_diagnose_code|cl_diagnose_code|cl_diagnose_conversie_mutatie
20170101|99991231|D5_1.01.01|as2_01.01.01|
20170101|99991231|D5_1.01.02|as2_01.01.02|
20170101|99991231|D5_1.01.03|as2_01.01.03|
20170101|99991231|D5_1.01.04|as2_01.01.04|
20170101|99991231|D5_1.01.05|as2_01.01.05|
20170101|99991231|D5_1.01.06|as2_01.01.05|
20170101|99991231|D5_1.02.01|as1_1.03.02|
20170101|99991231|D5_1.02.02|as1_1.03.03|
20170101|99991231|D5_1.02.03.01|as1_1.03.04|
20170101|99991231|D5_1.02.03.02|as1_1.03.04|
20170101|99991231|D5_1.02.04|as1_1.03.05|
20170101|99991231|D5_1.02.05|as1_1.03.05|
20170101|99991231|D5_1.03.01|as1_1.04.01|
20170101|99991231|D5_1.04.01|as1_1.05.01.01|
20170101|99991231|D5_1.04.02|as1_1.05.01.01.01|
20170101|99991231|D5_1.04.03|as1_1.05.01.02|
20170101|99991231|D5_1.04.04|as1_1.05.01.02.01|
20170101|99991231|D5_1.04.05|as1_1.05.01.03|
20170101|99991231|D5_1.04.06|as1_1.05.01.03.01|
20170101|99991231|D5_1.04.07|as1_1.05.02|
20170101|99991231|D5_1.04.08|as1_1.05.02|
20170101|99991231|D5_1.05.01|as1_1.01.01|
20170101|99991231|D5_1.05.02|as1_1.01.03|
20170101|99991231|D5_1.05.03|as1_1.01.02|
20170101|99991231|D5_1.06.01|as1_1.02.01|
20170101|99991231|D5_1.06.02|as1_1.09.04|
20170101|99991231|D5_1.06.02.01|as1_1.09.04.01|
20170101|99991231|D5_1.07.01|as1_1.07.01|
20170101|99991231|D5_1.07.02|as1_1.07.02|
20170101|99991231|D5_1.07.03|as1_1.07.03|
20170101|99991231|D5_1.07.04|as1_1.07.04|
20170101|99991231|D5_1.07.05|as1_1.07.04|
20170101|99991231|D5_1.08.01|as1_1.01.04|
20170101|99991231|D5_1.08.02|as1_1.01.04|
20170101|99991231|D5_10.01|as1_1.06.01|
20170101|99991231|D5_10.02|as1_1.06.02|
20170101|99991231|D5_10.03|as1_1.06.03|
20170101|99991231|D5_10.04|as1_12.01|
20170101|99991231|D5_10.04.01|as1_12.01.01|
20170101|99991231|D5_10.04.02|as1_12.01|
20170101|99991231|D5_10.05|as1_12.02|
20170101|99991231|D5_10.05.01|as1_12.02.03|
20170101|99991231|D5_10.05.02|as1_12.02|
20170101|99991231|D5_10.06.01|as1_12.03|
20170101|99991231|D5_10.06.02|as1_12.03|
20170101|99991231|D5_11.01|as1_1.08.03|
20170101|99991231|D5_11.01.01|as1_1.08.03.01|
20170101|99991231|D5_11.01.02|as1_1.08.03.02|
20170101|99991231|D5_11.01.03|as1_1.08.03.03|
20170101|99991231|D5_11.02.01|as1_1.08.01.01|
20170101|99991231|D5_11.02.02|as1_1.08.01.02|
20170101|99991231|D5_11.03.01|as1_1.08.03|
20170101|99991231|D5_11.03.02|as1_1.08.04|
20170101|99991231|D5_11.03.03|as1_1.08.04|
20170101|99991231|D5_11.03.04|as1_1.08.04|
20170101|99991231|D5_12.01|as1_13.01.01.01|
20170101|99991231|D5_12.02|as1_13.01.01.02|
20170101|99991231|D5_12.03|as1_13.01.01.03|
20170101|99991231|D5_12.03.01|as1_13.01.01.03|
20170101|99991231|D5_12.03.02|as1_13.01.01.03|
20170101|99991231|D5_12.04|as1_13.01.01.04|
20170101|99991231|D5_12.04.01|as1_13.01.01.04|
20170101|99991231|D5_12.04.02|as1_13.01.01.04|
20170101|99991231|D5_12.04.02.01|as1_13.01.01.04|
20170101|99991231|D5_12.04.02.02|as1_13.01.01.04|
20170101|99991231|D5_12.04.02.03|as1_13.01.01.04|
20170101|99991231|D5_12.04.03|as1_13.01.01.04|
20170101|99991231|D5_12.04.03.01|as1_13.01.01.04|
20170101|99991231|D5_12.04.03.02|as1_13.01.01.04|
20170101|99991231|D5_12.04.03.03|as1_13.01.01.04|
20170101|99991231|D5_12.04.04|as1_13.01.01.05|
20170101|99991231|D5_12.04.04.01|as1_13.01.01.05.01|
20170101|99991231|D5_12.04.04.02|as1_13.01.01.05.03|
20170101|99991231|D5_12.04.04.03|as1_13.01.01.05.04|
20170101|99991231|D5_12.05.01.01|as1_13.01.02.03|
20170101|99991231|D5_12.05.01.02|as1_13.01.02.02|
20170101|99991231|D5_12.05.02|as1_13.01.02.01|
20170101|99991231|D5_12.05.03|as1_13.07|
20170101|99991231|D5_12.05.04|as1_13.07|
20170101|99991231|D5_12.05.05.01|as1_13.04.01|
20170101|99991231|D5_12.05.05.01.01|as1_13.04.01.05|
20170101|99991231|D5_12.05.05.01.02|as1_13.04.01.06|
20170101|99991231|D5_12.05.05.01.03|as1_13.04.01.01|
20170101|99991231|D5_12.05.05.01.04|as1_13.04.01.02|
20170101|99991231|D5_12.05.05.01.05|as1_13.04.01.03|
20170101|99991231|D5_12.05.05.01.06|as1_13.04.01.04|
20170101|99991231|D5_12.05.05.02|as1_13.04.03|
20170101|99991231|D5_12.05.05.02.01|as1_13.04.03.01|
20170101|99991231|D5_12.05.05.02.02|as1_13.04.03.02|
20170101|99991231|D5_12.05.05.02.03|as1_13.04.03.03|
20170101|99991231|D5_12.05.05.02.04|as1_13.04.03.04|
20170101|99991231|D5_12.05.05.02.05|as1_13.04.07|
20170101|99991231|D5_12.05.05.03|as1_13.04.04|
20170101|99991231|D5_12.05.05.03.01|as1_13.04.04.01|
20170101|99991231|D5_12.05.05.03.02|as1_13.04.04.02|
20170101|99991231|D5_12.05.05.03.03|as1_13.04.04.03|
20170101|99991231|D5_12.05.05.03.04|as1_13.04.04.04|
20170101|99991231|D5_12.05.05.04|as1_13.04.05|
20170101|99991231|D5_12.05.05.04.01|as1_13.04.05.01|
20170101|99991231|D5_12.05.05.04.02|as1_13.04.05.02|
20170101|99991231|D5_12.05.05.04.03|as1_13.04.05.03|
20170101|99991231|D5_12.05.05.04.04|as1_13.04.05.04|
20170101|99991231|D5_12.05.05.05|as1_13.04.06|
20170101|99991231|D5_12.05.05.05.01|as1_13.04.06.01|
20170101|99991231|D5_12.05.05.05.02|as1_13.04.06.02|
20170101|99991231|D5_12.05.05.05.03|as1_13.04.06.03|
20170101|99991231|D5_12.05.05.05.04|as1_13.04.06.04|
20170101|99991231|D5_12.05.05.05.05|as1_13.04.07|
20170101|99991231|D5_12.05.05.06|as1_13.04.07|
20170101|99991231|D5_12.05.05.06.01|as1_13.04.07.01|
20170101|99991231|D5_12.05.05.06.02|as1_13.04.07.02|
20170101|99991231|D5_12.05.05.06.03|as1_13.04.07.03|
20170101|99991231|D5_12.05.05.06.04|as1_13.04.07.04|
20170101|99991231|D5_12.06.01|as1_13.03.01.01|
20170101|99991231|D5_12.06.02|as1_13.03.01.01|
20170101|99991231|D5_12.06.03|as1_13.03.01.02|
20170101|99991231|D5_12.06.04|as1_13.03.01.02|
20170101|99991231|D5_12.06.05|as1_13.07|
20170101|99991231|D5_12.06.06|as1_13.07|
20170101|99991231|D5_13.01|as1_11.03.02|
20170101|99991231|D5_13.02|as1_11.02.02|
20170101|99991231|D5_13.03|as1_11.03.01|
20170101|99991231|D5_13.04|as1_11.02.01|
20170101|99991231|D5_13.05|as1_11.04.01|
20170101|99991231|D5_13.06|as1_11.01.01|
20170101|99991231|D5_13.07|as1_11.03.03|
20170101|99991231|D5_13.08.01|as1_11.06.01|
20170101|99991231|D5_13.08.01.01|as1_11.06.01.05|
20170101|99991231|D5_13.08.01.02|as1_11.06.01|
20170101|99991231|D5_13.08.02|as1_11.06.04|
20170101|99991231|D5_13.08.02.01|as1_11.06.04.05|
20170101|99991231|D5_13.08.02.02|as1_11.06.04|
20170101|99991231|D5_13.08.03|as1_11.06.05|
20170101|99991231|D5_13.08.03.01|as1_11.06.05.05|
20170101|99991231|D5_13.08.03.02|as1_11.06.05|
20170101|99991231|D5_13.08.04|as1_11.06.02|
20170101|99991231|D5_13.08.04.01|as1_11.06.02.05|
20170101|99991231|D5_13.08.04.02|as1_11.06.02|
20170101|99991231|D5_13.08.05|as1_11.06.03|
20170101|99991231|D5_13.08.05.01|as1_11.06.03.05|
20170101|99991231|D5_13.08.06|as1_11.06.06|
20170101|99991231|D5_13.08.06.01|as1_11.06.06.05|
20170101|99991231|D5_13.08.06.02|as1_11.06.06|
20170101|99991231|D5_13.09.01|as1_11.06.07|
20170101|99991231|D5_13.09.02|as1_11.06.07|
20170101|99991231|D5_14.01|as1_11.08.01.02|
20170101|99991231|D5_14.02.01|as1_11.08.02|
20170101|99991231|D5_14.02.02|as1_11.08.02|
20170101|99991231|D5_14.03.01|as1_11.08.01.01|
20170101|99991231|D5_15.01|as1_1.05.04|
20170101|99991231|D5_15.02|as1_14.01|
20170101|99991231|D5_15.03.01|as1_1.05.03.01|
20170101|99991231|D5_15.03.02|as1_1.05.03.02|
20170101|99991231|D5_15.03.03|as1_1.05.03.03|
20170101|99991231|D5_15.04|as2_16.02.01|
20170101|99991231|D5_15.05|as1_14.02|
20170101|99991231|D5_15.06|as1_14.03|
20170101|20181231|D5_15.07.01|as1_1.05.05|2
20190101|99991231|D5_15.07.01|as1_14.06|1
20170101|99991231|D5_15.07.02|as1_1.05.05|
20170101|99991231|D5_16.01.01.01.01|as1_4.01.01.02|
20170101|99991231|D5_16.01.01.01.02|as1_4.01.01.01|
20170101|99991231|D5_16.01.01.01.03|as1_4.01.01.01|
20170101|99991231|D5_16.01.01.02|as1_4.01.02.01|
20170101|99991231|D5_16.01.01.03.01|as1_4.01.02.02.01|
20170101|99991231|D5_16.01.01.03.02|as1_4.01.02.02|
20170101|99991231|D5_16.01.01.04|as1_4.01.02.12|
20170101|99991231|D5_16.01.02.01|as1_4.03.01.01|
20170101|99991231|D5_16.01.02.02|as1_4.03.01.05|
20170101|99991231|D5_16.01.02.03|as1_4.03.01.04|
20170101|99991231|D5_16.01.03.01.01|as1_4.04.01.02|
20170101|99991231|D5_16.01.03.01.02|as1_4.04.01.01|
20170101|99991231|D5_16.01.03.02|as1_4.04.02.01|
20170101|99991231|D5_16.01.03.03|as1_4.04.02.06|
20170101|99991231|D5_16.01.03.04|as1_4.04.02.05|
20170101|99991231|D5_16.01.04.01.01|as1_4.10.01.02|
20170101|99991231|D5_16.01.04.01.02|as1_4.10.01.01|
20170101|99991231|D5_16.01.04.02.01|as1_4.06.01.02|
20170101|99991231|D5_16.01.04.02.02|as1_4.06.01.01|
20170101|99991231|D5_16.01.04.03|as1_4.10.02.01|
20170101|99991231|D5_16.01.04.04|as1_4.06.02.01|
20170101|99991231|D5_16.01.04.05|as1_4.06.02.02|
20170101|99991231|D5_16.01.04.06|as1_4.10.02.06|
20170101|99991231|D5_16.01.04.07|as1_4.06.02.07|
20170101|99991231|D5_16.01.05.01.01|as1_4.07.01.02|
20170101|99991231|D5_16.01.05.01.02|as1_4.07.01.01|
20170101|99991231|D5_16.01.05.02|as1_4.07.02.01|
20170101|99991231|D5_16.01.05.03|as1_4.07.02.07|
20170101|99991231|D5_16.01.06.01.01|as1_4.09.01.02|
20170101|99991231|D5_16.01.06.01.02|as1_4.09.01.01|
20170101|99991231|D5_16.01.06.02|as1_4.09.02.01|
20170101|99991231|D5_16.01.06.03|as1_4.09.02.02|
20170101|99991231|D5_16.01.06.04|as1_4.09.02.08|
20170101|99991231|D5_16.01.07.01.01|as1_4.11.01.02|
20170101|99991231|D5_16.01.07.01.02|as1_4.11.01.01|
20170101|99991231|D5_16.01.07.02|as1_4.11.02.01|
20170101|99991231|D5_16.01.07.03|as1_4.11.02.02|
20170101|99991231|D5_16.01.07.04|as1_4.11.02.12|
20170101|99991231|D5_16.01.08.01.01.01|as1_4.02.01.02|
20170101|99991231|D5_16.01.08.01.01.02|as1_4.02.01.01|
20170101|99991231|D5_16.01.08.01.02.01|as1_4.05.01.02|
20170101|99991231|D5_16.01.08.01.02.02|as1_4.05.01.01|
20170101|99991231|D5_16.01.08.01.03.01|as1_4.02.01.02|
20170101|99991231|D5_16.01.08.01.03.02|as1_4.02.01.01|
20170101|99991231|D5_16.01.08.02|as1_4.02.02.01|
20170101|99991231|D5_16.01.08.02.01|as1_4.02.02.01|
20170101|99991231|D5_16.01.08.02.01.01|as1_4.02.02.01.01|
20170101|99991231|D5_16.01.08.02.02|as1_4.05.02.01|
20170101|99991231|D5_16.01.08.03|as1_4.02.02.02|
20170101|99991231|D5_16.01.08.03.01|as1_4.02.02.02|
20170101|99991231|D5_16.01.08.03.02|as1_4.05.02.02|
20170101|99991231|D5_16.01.08.03.03|as1_4.02.02.02|
20170101|99991231|D5_16.01.08.04|as1_4.02.02.09|
20170101|99991231|D5_16.01.09.01.01|as1_4.08.01.01|
20170101|99991231|D5_16.01.09.01.02|as1_4.08.01.01|
20170101|99991231|D5_16.01.09.02|as1_4.08.02.01|
20170101|99991231|D5_16.01.09.03|as1_4.08.02.02|
20170101|99991231|D5_16.01.10.01.01|as1_4.13.01.02|
20170101|99991231|D5_16.01.10.01.02|as1_4.13.01.01|
20170101|99991231|D5_16.01.10.02|as1_4.13.02.01|
20170101|99991231|D5_16.01.10.03|as1_4.13.02.02|
20170101|99991231|D5_16.01.10.04|as1_4.13.02.11|
20170101|99991231|D5_16.02.01|as1_14.04|
20170101|99991231|D5_17.01.01.01|as1_2.01.02.01.01|
20170101|99991231|D5_17.01.01.02|as1_2.01.02.01.02|
20170101|99991231|D5_17.01.01.03|as1_2.01.02.01.03|
20170101|99991231|D5_17.01.01.04|as1_2.01.02.01.04|
20170101|99991231|D5_17.01.01.05|as1_2.01.02.01.05|
20170101|99991231|D5_17.01.01.06|as1_2.01.02.01.06|
20170101|99991231|D5_17.01.01.07|as1_2.01.02.01.07|
20170101|99991231|D5_17.01.01.08|as1_2.01.02.01.08|
20170101|99991231|D5_17.01.01.09|as1_2.01.02.01.09|
20170101|99991231|D5_17.01.01.10|as1_2.01.02.01.10|
20170101|99991231|D5_17.01.02.01|as1_2.01.02.02.01|
20170101|99991231|D5_17.01.02.02|as1_2.01.02.02.03|
20170101|99991231|D5_17.01.02.03|as1_2.01.02.02.02|
20170101|99991231|D5_17.01.02.04|as1_2.01.02.02.03|
20170101|99991231|D5_17.01.03|as1_2.01.02.02.03|
20170101|99991231|D5_17.01.04|as1_2.01.01|
20170101|99991231|D5_17.01.05|as1_2.01.03|
