cl_dbc_tarief_agb_code|cl_productgroep_code|cl_declaratiecode|cl_declaratiecode_kleur|cl_dbc_tarief_basis|cl_dbc_tarief_max|cl_dbc_nhc_tarief|cl_dbc_tarief_begindatum|cl_dbc_tarief_einddatum|cl_dbc_tarief_mutatie
0329|141151|100000|groen|5661300|0|0|20090101|20091231|
0329|141152|100001|groen|3420500|0|0|20090101|20091231|
0329|141152|100001|groen|3340100|0|0|20100101|20101231|
0329|141152|100001|groen|3397416|0|0|20110101|20111231|
0329|141153|100002|groen|5029000|0|0|20090101|20091231|
0329|141154|100003|groen|3399700|0|0|20090101|20091231|
0329|141154|100003|groen|3319900|0|0|20100101|20101231|
0329|141154|100003|groen|3376870|0|0|20110101|20111231|
0329|141155|100004|groen|4761300|0|0|20090101|20091231|
0329|141156|100005|groen|3434900|0|0|20090101|20091231|
0329|141156|100005|groen|3354200|0|0|20100101|20101231|
0329|141156|100005|groen|3411758|0|0|20110101|20111231|
0329|141157|100006|groen|4781000|0|0|20090101|20091231|
0329|141158|100007|groen|4433200|0|0|20090101|20091231|
0329|141158|100007|groen|4329100|0|0|20100101|20101231|
0329|141158|100007|groen|4403388|0|0|20110101|20111231|
0329|141159|100008|groen|5899700|0|0|20090101|20091231|
0329|142001|100010|groen|5005700|0|0|20090101|20091231|
0329|142001|100010|groen|4888100|0|0|20100101|20101231|
0329|142001|100010|groen|4971982|0|0|20110101|20111231|
0329|142002|100011|groen|5010300|0|0|20090101|20091231|
0329|142002|100011|groen|4892600|0|0|20100101|20101231|
0329|142002|100011|groen|4976559|0|0|20110101|20111231|
0329|142003|100012|groen|5017200|0|0|20090101|20091231|
0329|142003|100012|groen|4899300|0|0|20100101|20101231|
0329|142003|100012|groen|4983374|0|0|20110101|20111231|
0329|142004|100013|groen|5029500|0|0|20090101|20091231|
0329|142004|100013|groen|4911300|0|0|20100101|20101231|
0329|142004|100013|groen|4995580|0|0|20110101|20111231|
0329|142005|100014|groen|5056900|0|0|20090101|20091231|
0329|142005|100014|groen|4938100|0|0|20100101|20101231|
0329|142005|100014|groen|5022840|0|0|20110101|20111231|
0329|142006|100015|groen|5137200|0|0|20090101|20091231|
0329|142007|100016|groen|5019000|0|0|20090101|20091231|
0329|142007|100016|groen|4901100|0|0|20100101|20101231|
0329|142007|100016|groen|4985205|0|0|20110101|20111231|
0329|142008|100017|groen|5033500|0|0|20090101|20091231|
0329|142008|100017|groen|4915200|0|0|20100101|20101231|
0329|142008|100017|groen|4999547|0|0|20110101|20111231|
0329|142009|100018|groen|5057000|0|0|20090101|20091231|
0329|142009|100018|groen|4938200|0|0|20100101|20101231|
0329|142009|100018|groen|5022941|0|0|20110101|20111231|
0329|142010|100019|groen|5099600|0|0|20090101|20091231|
0329|142011|100020|groen|5120000|0|0|20090101|20091231|
0329|142012|100021|groen|5218100|0|0|20090101|20091231|
0329|142013|100022|groen|5016200|0|0|20090101|20091231|
0329|142013|100022|groen|4898300|0|0|20100101|20101231|
0329|142013|100022|groen|4982357|0|0|20110101|20111231|
0329|142014|100023|groen|5030500|0|0|20090101|20091231|
0329|142014|100023|groen|4912300|0|0|20100101|20101231|
0329|142014|100023|groen|4996597|0|0|20110101|20111231|
0329|142015|100024|groen|5054200|0|0|20090101|20091231|
0329|142015|100024|groen|4935400|0|0|20100101|20101231|
0329|142015|100024|groen|5020093|0|0|20110101|20111231|
0329|142016|100025|groen|5097800|0|0|20090101|20091231|
0329|142016|100025|groen|4978100|0|0|20100101|20101231|
0329|142016|100025|groen|5063526|0|0|20110101|20111231|
0329|142017|100026|groen|5205400|0|0|20090101|20091231|
0329|142018|100027|groen|5016100|0|0|20090101|20091231|
0329|142018|100027|groen|4898200|0|0|20100101|20101231|
0329|142018|100027|groen|4982255|0|0|20110101|20111231|
0329|142019|100028|groen|5019600|0|0|20090101|20091231|
0329|142019|100028|groen|4901700|0|0|20100101|20101231|
0329|142019|100028|groen|4985815|0|0|20110101|20111231|
0329|142020|100029|groen|5032800|0|0|20090101|20091231|
0329|142020|100029|groen|4914600|0|0|20100101|20101231|
0329|142020|100029|groen|4998936|0|0|20110101|20111231|
0329|142021|100030|groen|5039500|0|0|20090101|20091231|
0329|142021|100030|groen|4921100|0|0|20100101|20101231|
0329|142021|100030|groen|5005548|0|0|20110101|20111231|
0329|142022|100031|groen|5055300|0|0|20090101|20091231|
0329|142022|100031|groen|4936500|0|0|20100101|20101231|
0329|142022|100031|groen|5021212|0|0|20110101|20111231|
0329|142023|100032|groen|5066000|0|0|20090101|20091231|
0329|142023|100032|groen|4947000|0|0|20100101|20101231|
0329|142023|100032|groen|5031892|0|0|20110101|20111231|
0329|142024|100033|groen|5089800|0|0|20090101|20091231|
0329|142024|100033|groen|4970200|0|0|20100101|20101231|
0329|142024|100033|groen|5055490|0|0|20110101|20111231|
0329|142025|100034|groen|5099600|0|0|20090101|20091231|
0329|142025|100034|groen|4979800|0|0|20100101|20101231|
0329|142025|100034|groen|5065255|0|0|20110101|20111231|
0329|142026|100035|groen|5170100|0|0|20090101|20091231|
0329|142027|100036|groen|5109300|0|0|20090101|20091231|
0329|142027|100036|groen|4989300|0|0|20100101|20101231|
0329|142027|100036|groen|5074918|0|0|20110101|20111231|
0329|142028|100037|groen|5204400|0|0|20090101|20091231|
0329|142029|100038|groen|5233400|0|0|20090101|20091231|
0329|142030|100039|groen|5401100|0|0|20090101|20091231|
0329|142030|100039|groen|5274300|0|0|20100101|20101231|
0329|142030|100039|groen|5364809|0|0|20110101|20111231|
0329|142031|100040|groen|5740100|0|0|20090101|20091231|
0329|142031|100040|groen|5605300|0|0|20100101|20101231|
0329|142031|100040|groen|5701489|0|0|20110101|20111231|
0329|142033|100041|groen|5110700|0|0|20090101|20091231|
0329|142033|100041|groen|4990600|0|0|20100101|20101231|
0329|142033|100041|groen|5076240|0|0|20110101|20111231|
0329|142034|100042|groen|5209000|0|0|20090101|20091231|
0329|142035|100043|groen|5235900|0|0|20090101|20091231|
0329|142036|100044|groen|5390400|0|0|20090101|20091231|
0329|142036|100044|groen|5263800|0|0|20100101|20101231|
0329|142036|100044|groen|5354129|0|0|20110101|20111231|
0329|142037|100045|groen|5463400|0|0|20090101|20091231|
0329|142037|100045|groen|5335100|0|0|20100101|20101231|
0329|142037|100045|groen|5426652|0|0|20110101|20111231|
0329|142038|100046|groen|5643000|0|0|20090101|20091231|
0329|142038|100046|groen|5510500|0|0|20100101|20101231|
0329|142038|100046|groen|5605062|0|0|20110101|20111231|
0329|142040|100047|groen|5112600|0|0|20090101|20091231|
0329|142040|100047|groen|4992500|0|0|20100101|20101231|
0329|142040|100047|groen|5078173|0|0|20110101|20111231|
0329|142041|100048|groen|5226200|0|0|20090101|20091231|
0329|142041|100048|groen|5103500|0|0|20100101|20101231|
0329|142041|100048|groen|5191078|0|0|20110101|20111231|
0329|142042|100049|groen|5410600|0|0|20090101|20091231|
0329|142042|100049|groen|5283500|0|0|20100101|20101231|
0329|142042|100049|groen|5374167|0|0|20110101|20111231|
0329|142044|100050|groen|5101500|0|0|20090101|20091231|
0329|142044|100050|groen|4981700|0|0|20100101|20101231|
0329|142044|100050|groen|5067188|0|0|20110101|20111231|
0329|142045|100051|groen|5116300|0|0|20090101|20091231|
0329|142045|100051|groen|4996100|0|0|20100101|20101231|
0329|142045|100051|groen|5081835|0|0|20110101|20111231|
0329|142046|100052|groen|5189200|0|0|20090101|20091231|
0329|142046|100052|groen|5067300|0|0|20100101|20101231|
0329|142046|100052|groen|5154257|0|0|20110101|20111231|
0329|142047|100053|groen|5220700|0|0|20090101|20091231|
0329|142047|100053|groen|5098000|0|0|20100101|20101231|
0329|142047|100053|groen|5185483|0|0|20110101|20111231|
0329|142048|100054|groen|5364600|0|0|20090101|20091231|
0329|142048|100054|groen|5238600|0|0|20100101|20101231|
0329|142048|100054|groen|5328496|0|0|20110101|20111231|
0329|142049|100055|groen|5641100|0|0|20090101|20091231|
0329|142049|100055|groen|5508500|0|0|20100101|20101231|
0329|142049|100055|groen|5603028|0|0|20110101|20111231|
0329|142051|100056|groen|5089100|0|0|20090101|20091231|
0329|142051|100056|groen|4969500|0|0|20100101|20101231|
0329|142051|100056|groen|5054778|0|0|20110101|20111231|
0329|142052|100057|groen|5203100|0|0|20090101|20091231|
0329|142052|100057|groen|5080800|0|0|20100101|20101231|
0329|142052|100057|groen|5167988|0|0|20110101|20111231|
0329|142053|100058|groen|5373900|0|0|20090101|20091231|
0329|142053|100058|groen|5247600|0|0|20100101|20101231|
0329|142053|100058|groen|5337651|0|0|20110101|20111231|
0329|142054|100059|groen|5627000|0|0|20090101|20091231|
0329|142054|100059|groen|5494800|0|0|20100101|20101231|
0329|142054|100059|groen|5589093|0|0|20110101|20111231|
0329|142056|100060|groen|5091500|0|0|20090101|20091231|
0329|142056|100060|groen|4971900|0|0|20100101|20101231|
0329|142056|100060|groen|5057220|0|0|20110101|20111231|
0329|142057|100061|groen|5200800|0|0|20090101|20091231|
0329|142058|100062|groen|5242300|0|0|20090101|20091231|
0329|142059|100063|groen|5367300|0|0|20090101|20091231|
0329|142059|100063|groen|5241300|0|0|20100101|20101231|
