cl_zorgtype_begindatum|cl_zorgtype_einddatum|cl_zorgtype_code|cl_zorgtype_groepcode|cl_zorgtype_element|cl_zorgtype_beschrijving|cl_zorgtype_hierarchieniveau|cl_zorgtype_selecteerbaar|cl_zorgtype_sorteervolgorde|cl_zorgtype_prestatiecodedeel|cl_zorgtype_mutatie|cl_zorgtype_branche_indicatie
20010101|99991231|100||Initieel zorgtype|Initieel zorgtype|0|0|30|100||0
20000101|99991231|101|100|Reguliere zorg|Reguliere zorg|2|1|40|101||1
20000101|20121231|102|100|Eenmalig spoedeisend consult/crisisinterventie|Eenmalig spoedeisend consult/crisisinterventie|2|1|50|102||1
20000101|20121231|103|100|Acute opname|Acute opname|2|1|60|103||1
20000101|20111231|104|100|Intercollegiaal consult|Intercollegiaal consult|2|1|70|104||1
20000101|20111231|105|100|Medebehandeling|Medebehandeling|2|1|80|105||1
20000101|99991231|106|100|Second opinion|Second opinion|2|1|90|106||1
20000101|99991231|107|100|Zorg op basis van tertiaire verwijzing|Zorg op basis van tertiaire verwijzing|2|1|100|107||1
20000101|99991231|108|100|Langdurig periodieke controle (bij overname)|Langdurig periodieke controle (bij overname)|2|1|110|108||1
20000101|20111231|109|100|Bemoeizorg|Bemoeizorg|2|1|120|109||1
20120101|99991231|109|100|Bemoeizorg|Bemoeizorg|2|1|120|199||1
20000101|20111231|110|100|Rechterlijke machtiging|Rechterlijke machtiging|2|1|130|101||1
20120101|99991231|110|100|Rechterlijke machtiging|Rechterlijke machtiging|2|1|130|199||1
20000101|20111231|111|100|Inbewaringstelling|Inbewaringstelling|2|1|140|101||1
20120101|99991231|111|100|Inbewaringstelling|Inbewaringstelling|2|1|140|199||1
20000101|20071231|112|100|Terbeschikkingstelling|Terbeschikkingstelling|2|1|150|112||1
20080101|20081231|112|100|Terbeschikkingstelling|Terbeschikkingstelling|2|1|150|112||2
20000101|20061231|113|100|Terbeschikkingstelling met voorwaarden|Terbeschikkingstelling met voorwaarden|2|1|160|113||1
20070101|20071231|113|100|Terbeschikkingstelling met voorwaarden|Terbeschikkingstelling met voorwaarden|2|1|160|113||0
20080101|20081231|113|100|Terbeschikkingstelling met voorwaarden|Terbeschikkingstelling met voorwaarden|2|1|160|113||2
20000101|20071231|114|100|Strafrechterlijke machtiging|Strafrechterlijke machtiging|2|1|170|114||1
20000101|20161231|115|100|Ondertoezichtstelling|Ondertoezichtstelling|2|1|180|101||1
20080101|20111231|116|100|Rechterlijke machtiging met voorwaarden|Rechterlijke machtiging met voorwaarden|2|1|181|101||1
20120101|99991231|116|100|Rechterlijke machtiging met voorwaarden|Rechterlijke machtiging met voorwaarden|2|1|181|199||1
20080101|20171231|117|100|Jeugdstrafrecht|Jeugdstrafrecht|2|1|182|101||1
20070101|20081231|118|100|Detentie bijzondere zorg in gevangeniswezen|Detentie bijzondere zorg in gevangeniswezen|2|1|161|118||2
20070101|20081231|119|100|Detentie bijzondere zorg buiten gevangeniswezen|Detentie bijzondere zorg buiten gevangeniswezen|2|1|162|119||2
20070101|20081231|120|100|Titels met voorwaarden + artikel 37 Sr|Titels met voorwaarden + artikel 37 Sr|2|1|163|120||2
20090101|99991231|121|100|Strafrechtelijke machtiging (art. 37 jo 39 Sr)|Strafrechtelijke machtiging (art. 37 jo 39 Sr)|2|1|164|121||2
20090101|99991231|122|100|TBS met dwangverpleging (art. 37a jo 37b Sr)|TBS met dwangverpleging (art. 37a jo 37b Sr)|2|1|165|122||2
